pubmed_id,title,journal,year,authors,affiliations,has_pharma_author
40746212,Novel Carrier-Free Nanomedicine for Regulating Macrophage Phenotype to Amplify Anti-Tumor Photoimmunotherapy.,"Small (Weinheim an der Bergstrasse, Germany)",2025,Jingfeng Xiang; Meng Suo; Jiangli Lan; Shipeng Ning; Huan Liu; Wei Hong; Jing Liang; Jianqiu Zheng; Daoming Zhu; Jianlan Mo,"Department of General Surgery, Guangdong Provincial Key Laboratory of Precision Medicine for Gastrointestinal Tumor, Nanfang Hospital, Southern Medical University, Guangzhou, Guangdong, 510515, China.; School of Biomedical Engineering, Affiliated Cancer Hospital & Institute of Guangzhou Medical University, Guangzhou Medical University, Guangzhou, 511436, China.; Department of Anesthesiology, Maternity and Child Health Care of Guangxi Zhuang Autonomous Region, Nanning, 537500, China.; Department of Breast Surgery, The Second Affiliated Hospital of Guangxi Medical University, Nanning, 530000, China.; Department of Anesthesiology, Maternity and Child Health Care of Guangxi Zhuang Autonomous Region, Nanning, 537500, China.; Department of Anesthesiology, Maternity and Child Health Care of Guangxi Zhuang Autonomous Region, Nanning, 537500, China.; Department of Breast Surgery, Maternity and Child Health Care of Guangxi Zhuang Autonomous Region, Nanning, 530002, China.; Department of Anesthesiology, Maternity and Child Health Care of Guangxi Zhuang Autonomous Region, Nanning, 537500, China.; Department of General Surgery, Guangdong Provincial Key Laboratory of Precision Medicine for Gastrointestinal Tumor, Nanfang Hospital, Southern Medical University, Guangzhou, Guangdong, 510515, China.; Department of Anesthesiology, Maternity and Child Health Care of Guangxi Zhuang Autonomous Region, Nanning, 537500, China.",False
40745160,Mogat1 drives metabolic adaptations to evade immune surveillance.,Nature communications,2025,Huan Wei; Congyi Niu; Yue Shi; Yingfei Fang; Chengheng Yang; Jian Liu; Zhenjie Xu,"School of Basic Medical Science, Fudan University, Shanghai, China.; School of Life Sciences, Westlake University, Hangzhou, Zhejiang, China.; School of Basic Medical Science, Fudan University, Shanghai, China.; School of Life Sciences, Fudan University, Shanghai, China.; Westlake University Research Center for Industries of the Future, Westlake University, Hangzhou, Zhejiang, China.; School of Life Sciences, Westlake University, Hangzhou, Zhejiang, China.; School of Life Sciences, Westlake University, Hangzhou, Zhejiang, China.; Westlake Laboratory of Life Sciences and Biomedicine, Hangzhou, Zhejiang, China.; Department of Breast Surgery, Affiliated Hangzhou First People's Hospital, School of Medicine, Westlake University, Hangzhou, Zhejiang, China.; School of Life Sciences, Westlake University, Hangzhou, Zhejiang, China. xuzhenjie@westlake.edu.cn.; School of Life Sciences, Fudan University, Shanghai, China. xuzhenjie@westlake.edu.cn.; Westlake University Research Center for Industries of the Future, Westlake University, Hangzhou, Zhejiang, China. xuzhenjie@westlake.edu.cn.; Westlake Laboratory of Life Sciences and Biomedicine, Hangzhou, Zhejiang, China. xuzhenjie@westlake.edu.cn.; School of Medicine, Zhejiang University, Hangzhou, Zhejiang, China. xuzhenjie@westlake.edu.cn.",False
40744813,"Proteomic Analysis Identifies Association of Periostin, a Matricellular Protein, with High Tumor Stroma and Immune Exclusion in Triple-Negative Breast Cancer.",Cancer research and treatment,2025,Yeonjin Jeon; GunHee Lee; Byung-Kwan Jeong; Yoon Young Kim; JiSun Kim; Jae Ho Jeong; Kyunggon Kim; Hee Jin Lee,"Department of Pathology, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea.; Department of Diagnostic Pathology, Samkwang Medical Laboratories, Seoul, Korea.; Department of Pathology, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea.; Department of Pathology, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea.; Department of Pathology, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea.; Division of Breast Surgery, Department of Surgery, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea.; Department of Oncology, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea.; Department of Digital Medicine, University of Ulsan College of Medicine, Seoul, Korea.; Department of Pathology, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea.; NeogenTC Corp., Seoul, Korea.",True
40744683,Co-Expression of MHC-II and ANXA1: Mediators of PD-1/PD-L1 Therapy Resistance in Breast Cancer.,"Cancer reports (Hoboken, N.J.)",2025,Hao Wang; Ji-Feng Sun; Chen Wang; Zhan-Sheng Jiang; Zhong-Sheng Tong,"Tianjin Medical University Cancer Institute & Hospital, National Clinical Research Center for Cancer, Tianjin, China.; Tianjin's Clinical Research Center for Cancer, Tianjin, China.; Key Laboratory of Breast Cancer Prevention and Therapy, Tianjin Medical University, Ministry of Education, Tianjin, China.; Key Laboratory of Cancer Prevention and Therapy, Tianjin, China.; Tianjin Cancer Hospital Airport Hospital, Tianjin, China.; Tianjin Medical University Cancer Institute & Hospital, National Clinical Research Center for Cancer, Tianjin, China.; Tianjin Cancer Hospital Airport Hospital, Tianjin, China.; Tianjin Medical University Cancer Institute & Hospital, National Clinical Research Center for Cancer, Tianjin, China.; Tianjin's Clinical Research Center for Cancer, Tianjin, China.; Key Laboratory of Breast Cancer Prevention and Therapy, Tianjin Medical University, Ministry of Education, Tianjin, China.; Key Laboratory of Cancer Prevention and Therapy, Tianjin, China.; Tianjin Medical University Cancer Institute & Hospital, National Clinical Research Center for Cancer, Tianjin, China.; Tianjin's Clinical Research Center for Cancer, Tianjin, China.; Key Laboratory of Breast Cancer Prevention and Therapy, Tianjin Medical University, Ministry of Education, Tianjin, China.; Key Laboratory of Cancer Prevention and Therapy, Tianjin, China.; Tianjin Medical University Cancer Institute & Hospital, National Clinical Research Center for Cancer, Tianjin, China.; Tianjin's Clinical Research Center for Cancer, Tianjin, China.; Key Laboratory of Breast Cancer Prevention and Therapy, Tianjin Medical University, Ministry of Education, Tianjin, China.; Key Laboratory of Cancer Prevention and Therapy, Tianjin, China.",False
40744660,MIAT promotes tumor-infiltrating CD8+ T-cell exhaustion and malignant progression of renal cell carcinoma via activating JAK3/STAT3 pathway.,Journal for immunotherapy of cancer,2025,Ming-Xiao Zhang; Lan-Yu Jing; Hao-Tian Tan; Zi-Ran Dai; Da-Zhi Long; Han-Chao Liu; An-Ze Yu; Bin Wang; Zi-Yin Chen; Jun-Hang Luo; Zhen-Hua Chen; Jian-Feng Wang,"Department of Urology, China-Japan Friendship Hospital, Beijing, China.; Breast Department, Guangdong Provincial Hospital of Chinese Medicine, The Second Affiliated Hospital of Guangzhou University of Chinese Medicine, The Second Clinical College of Guangzhou University of Chinese Medicine, Guangdong Provincial Academy of Medical Sciences, Guangzhou, China.; Department of Urology, China-Japan Friendship Hospital, Beijing, China.; Department of Urology, China-Japan Friendship Hospital, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing, China.; Department of Urology, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.; Department of Urology, Ji'an Center People's Hospital, Ji'an, China.; Department of Andrology and Urology, Sir Run Run Shaw Hospital, affiliated with the Zhejiang University School of Medicine, Hangzhou, China.; Department of Urology, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.; Department of Breast Surgery, The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China.; Department of Urology, Beijing Hospital, National Center of Gerontology, Institute of Geriatric Medicine, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing, China.; Department of Urology, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.; Department of Urology, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, China zryywjf@163.com chenzhh75@mail.sysu.edu.cn.; Department of Urology, China-Japan Friendship Hospital, Beijing, China zryywjf@163.com chenzhh75@mail.sysu.edu.cn.",False
40741879,Artificial Intelligence and the Evolving Landscape of Immunopeptidomics.,Proteomics. Clinical applications,2025,Thanh Hoa Vo; Edel McNeela; Orla O'Donovan; Sweta Rani; Jai Prakash Mehta,"Department of Science, Pharmaceutical and Molecular Biotechnology Research Center (PMBRC), South East Technological University, Waterford, Ireland.; Department of Science, Pharmaceutical and Molecular Biotechnology Research Center (PMBRC), South East Technological University, Waterford, Ireland.; Department of Science, Pharmaceutical and Molecular Biotechnology Research Center (PMBRC), South East Technological University, Waterford, Ireland.; Department of Science, Pharmaceutical and Molecular Biotechnology Research Center (PMBRC), South East Technological University, Waterford, Ireland.; Department of Applied Science, South East Technological University, Carlow, Ireland.",False
40740766,Systematic analysis of ZDHHC9 as a potential prognostic and immunotherapy biomarker in breast cancer.,Frontiers in immunology,2025,Desheng Zhou; Zhenpeng Wu; Yachao Cui; Doudou Wang; Hejun Song; Jun Chen; Hong Lin,"The Sixth School of Clinical Medicine, The Affiliated Qingyuan Hospital (Qingyuan People's Hospital), Guangzhou Medical University, Qingyuan, China.; Guangzhou Institute of Cancer Research, The Affiliated Cancer Hospital, Guangzhou Medical University, Guangzhou, China.; The First Affiliated Hospital of Guangzhou Medical University, Guangzhou Institute of Respiratory Health, National Clinical Research Center for Respiratory Disease, State Key Laboratory of Respiratory Disease, Guangzhou, China.; Guangzhou National Laboratory, Guangzhou, China.; Shaanxi Energy Institute, Shaanxi, China.; Guangzhou Institute of Cancer Research, The Affiliated Cancer Hospital, Guangzhou Medical University, Guangzhou, China.; Thyroid and Breast Surgery Department, Shenzhen Hospital, Southern Medicaid University, Shenzhen, China.; The Sixth School of Clinical Medicine, The Affiliated Qingyuan Hospital (Qingyuan People's Hospital), Guangzhou Medical University, Qingyuan, China.",False
40738541,B-cell editing: An emerging alternative of precision oncotherapy.,Advances in immunology,2025,Pritha Roy Choudhury; Mohona Chakravarti; Saptak Banerjee; Rathindranath Baral; Anamika Bose,"Department of Immunoregulation and Immunodiagnostics, Chittaranjan National Cancer Institute (CNCI), Kolkata, India.; Surgery Branch, Center for Cancer Research, National Cancer Institute, Bethesda, MD, United States.; Department of Immunoregulation and Immunodiagnostics, Chittaranjan National Cancer Institute (CNCI), Kolkata, India.; Department of Immunoregulation and Immunodiagnostics, Chittaranjan National Cancer Institute (CNCI), Kolkata, India.; Department of Pharmaceutical Technology (Biotechnology), National Institute of Pharmaceutical Education and Research (NIPER), SAS Nagar, Punjab, India. Electronic address: boseanamika@niper.ac.in.",False
40738175,Augmenting cGAS/STING-mediated innate immunity by copper-based nanoplatform for synergistic cancer immunotherapy via inducing irreversible DNA damage.,Journal of controlled release : official journal of the Controlled Release Society,2025,Zhenhao Li; Hongwu Chen; Chubin Wang; Tingting Deng; Jiehao Huang; Haixuan Ye; Jiajia Chen; Cong Huang; Zhian Chen,"The First Affiliated Hospital of Shantou University Medical College, Shantou 515041, China; The First Clinical Medical College, Southern Medical University, Guangzhou 510515, China.; The First Affiliated Hospital of Shantou University Medical College, Shantou 515041, China.; The First Affiliated Hospital of Shantou University Medical College, Shantou 515041, China.; The First Affiliated Hospital of Shantou University Medical College, Shantou 515041, China.; The First Affiliated Hospital of Shantou University Medical College, Shantou 515041, China.; The First Clinical Medical College, Southern Medical University, Guangzhou 510515, China; Chaozhou Central Hospital, Chaozhou, 521000, China.; Chaozhou Central Hospital, Chaozhou, 521000, China. Electronic address: 81718370@qq.com.; The First Affiliated Hospital of Shantou University Medical College, Shantou 515041, China. Electronic address: chuang200628@163.com.; Zhongshan City People's Hospital, Zhongshan, 528403, China. Electronic address: 877676698@qq.com.",False
40737412,Morphology- and adhesion-dual biomimetic nanovaccine boosts antigen cross-presentation through subcellular transport regulation.,Science advances,2025,Zhenyu Wang; Huimin Zhou; Qianyi Su; Qinyu Qiu; Wenjia Deng; Miaomiao Zhang; Zhiyong Xu; Jiaxin Li; Jisheng Xiao; Xiaopin Duan,"Department of General Surgery, Zhujiang Hospital; Cancer Research Institute, School of Basic Medical Sciences, Southern Medical University, Guangzhou 510515, China.; Translational Medicine Research Center, Zhujiang Hospital, Southern Medical University, Guangzhou 510280, China.; School of Pharmaceutical Sciences, Southern Medical University, Guangzhou 510515, China.; Department of General Surgery, Zhujiang Hospital; Cancer Research Institute, School of Basic Medical Sciences, Southern Medical University, Guangzhou 510515, China.; Department of General Surgery, Zhujiang Hospital; Cancer Research Institute, School of Basic Medical Sciences, Southern Medical University, Guangzhou 510515, China.; Translational Medicine Research Center, Zhujiang Hospital, Southern Medical University, Guangzhou 510280, China.; School of Pharmaceutical Sciences, Southern Medical University, Guangzhou 510515, China.; Department of General Surgery, Zhujiang Hospital; Cancer Research Institute, School of Basic Medical Sciences, Southern Medical University, Guangzhou 510515, China.; Department of General Surgery, Zhujiang Hospital; Cancer Research Institute, School of Basic Medical Sciences, Southern Medical University, Guangzhou 510515, China.; Department of General Surgery, Zhujiang Hospital; Cancer Research Institute, School of Basic Medical Sciences, Southern Medical University, Guangzhou 510515, China.; Department of General Surgery, Zhujiang Hospital; Cancer Research Institute, School of Basic Medical Sciences, Southern Medical University, Guangzhou 510515, China.; Department of General Surgery, Zhujiang Hospital; Cancer Research Institute, School of Basic Medical Sciences, Southern Medical University, Guangzhou 510515, China.; Translational Medicine Research Center, Zhujiang Hospital, Southern Medical University, Guangzhou 510280, China.; School of Pharmaceutical Sciences, Southern Medical University, Guangzhou 510515, China.; Department of General Surgery, Zhujiang Hospital; Cancer Research Institute, School of Basic Medical Sciences, Southern Medical University, Guangzhou 510515, China.",False
